Eigvals	0

Proportion explained	0

Species	0	0

Site	700	3
control_0_t0	0.005336762835541	-0.0025413741615220387	-0.004256482325255891
control_0_t1	-0.0681980256575988	0.0030106327980395564	0.11221246508641514
control_0_t2	0.04947590090608611	-0.04224128500414336	0.09847766479518603
control_0_t3	0.04755014558003729	-0.18484499686925185	0.014720334072097885
control_0_t4	0.16393112884737307	-0.03194041955901836	-0.029346244114405902
control_0_t5	0.28729823793233933	-0.03187987699942369	-0.07507095642252078
control_0_t6	0.22148181550674811	0.024432936318141155	-0.10580621469877174
control_0_t7	0.23707335387716677	-0.0047980859089174	-0.11673958467107637
control_0_t8	0.16042060117237134	-0.09275810186901959	-0.02634564271831344
control_0_t9	0.2056960331937137	0.007970138439563679	-0.007913039716003711
control_1_t0	-0.004952870694631168	0.0074694910432240415	-0.00403186041228683
control_1_t1	-0.06984543874756423	-0.012021511087521107	-0.04182846449641636
control_1_t2	-0.06360983268324426	-0.035252195492701276	-0.009397693558107018
control_1_t3	-0.0316840728341167	-0.04308330509312994	0.059412902952779234
control_1_t4	0.033125139224117764	-0.03410391147394718	0.0054985782526277005
control_1_t5	0.1512720221728301	0.04184008263786131	0.06540248063264259
control_1_t6	0.09055620823319024	-0.01476116283806199	-0.030874277799255112
control_1_t7	0.021160359936266734	0.019450795744403927	-0.054804128270363316
control_1_t8	-0.0367505212074183	0.01648459909926076	0.06403379181335767
control_1_t9	0.09265454883858974	0.05580423367742046	0.006936013048246155
control_2_t0	-0.0036651376926358894	0.007379497481884425	-0.00734722926966078
control_2_t1	0.02674277893903639	0.04895811285640309	0.07377872709546315
control_2_t2	0.05308212981161532	0.03620820131156759	0.14431086368326912
control_2_t3	0.12331098712399759	0.08834536849630956	0.06573540044868204
control_2_t4	0.20784903173932723	0.0784596497476347	0.11107084321680948
control_2_t5	0.16380356684580882	0.09127319440442114	0.04316715882260068
control_2_t6	0.08698321368320372	0.18167954640085948	-0.08769014390794753
control_2_t7	0.1090597466296781	0.12688901744626652	-0.022109993242810613
control_2_t8	0.12684286514630302	0.14880855817982427	-0.11375687226479525
control_2_t9	0.2519254293359596	0.09270340238658585	-0.05026579845678719
control_3_t0	0.0011883125254654515	-0.0016625328418740427	-0.0054997048270253755
control_3_t1	-0.0229216641520409	-0.0005576254400262613	0.05629895831500317
control_3_t2	0.005368283583566502	-0.03513726166584569	0.02527201690692183
control_3_t3	-0.07495821966304266	-0.03047382092874316	0.0011359531518964142
control_3_t4	-0.023696106220808852	0.07680277814744282	-0.023493553014575626
control_3_t5	-0.012786445568596892	0.00538711135071443	-0.03464195033295256
control_3_t6	-0.1208564653804371	-0.008132063249232248	-0.14090178835872286
control_3_t7	-0.08341203901068178	-0.12987137339590524	-0.08896182612083955
control_3_t8	-0.06499090745679265	-0.0728600136349851	-0.13318142404499145
control_3_t9	0.05861270943025729	-0.008323963477167004	-0.11319087340197607
