Eigvals	0

Proportion explained	0

Species	0	0

Site	7000	3
control_0_t0	0.009025753311040855	-0.006115143969143528	0.0076373403882727
control_0_t1	0.0538437639765554	-0.023800711637990198	0.012338801375295414
control_0_t2	0.11543890137030773	-0.002282525548064955	0.015479754056179972
control_0_t3	0.08091224502998674	-0.000723249122012336	0.08029504879786453
control_0_t4	0.06555878637840969	0.1312546333402249	0.13083157732483752
control_0_t5	0.11834241244688809	0.08481909049886616	-0.00014482682663297108
control_0_t6	0.1264428001638338	0.08160612038946044	0.010302740061227899
control_0_t7	0.16173382246558243	0.1265373276134035	-0.027419284938313405
control_0_t8	0.06667077946799405	0.09508830248579297	0.05173853355195894
control_0_t9	0.0337406958078241	-0.07438949270266038	0.028749629992903994
control_0_t10	0.045652043896414043	0.05495515385598165	0.004561879582767499
control_0_t11	0.02005157699288332	0.13094963887611505	0.020422311822170996
control_0_t12	0.05779203593160538	0.01954328717913087	0.018317490098757477
control_0_t13	-0.11562733961435291	0.23326328815985697	0.09649113096981894
control_0_t14	0.039129074651069004	0.2051891015133638	0.0629633550226954
control_0_t15	-0.03666494234064287	0.16015431883254938	-0.00169878949382328
control_0_t16	-0.026390449989393702	0.0682089280068584	0.029289804712515823
control_0_t17	-0.15704354189230746	0.16304042294666665	0.05007403780263077
control_0_t18	-0.2332597694956603	0.12143291851508803	-0.0885374807313369
control_0_t19	-0.2392466075094824	0.09107194654658739	-0.03789937925035548
control_0_t20	-0.07563349341628975	0.15488771427074033	-0.048744592250725666
control_0_t21	0.02693792340300688	0.0859254865074618	-0.09820744377518427
control_0_t22	-0.049777109742246264	0.13148683343027226	-0.008117152057183927
control_0_t23	-0.05320433592887696	0.13641319074792455	0.05976246602310373
control_0_t24	-0.013540761273192405	0.15545619248824782	0.006202607004525892
control_0_t25	-0.03740792130103999	0.15858925529009077	0.0009243116317121398
control_0_t26	-0.1187259716662489	0.1899400536489479	-0.002675236658628712
control_0_t27	-0.10630179182113265	0.00235842560579988	0.06425068842405905
control_0_t28	-0.057745405785280327	0.1565256783883633	0.050711581363688724
control_0_t29	-0.04995660949645054	0.12712669239459257	0.07945689288337843
control_0_t30	0.04655845677828941	0.053823094692202963	0.11831556410887674
control_0_t31	-0.03290904537102477	0.016582832047220497	0.08517689129120753
control_0_t32	-0.019826628065513115	0.01937025879235111	0.13809456165797115
control_0_t33	-0.051729781374240356	-0.06726455617272509	0.08834631256372069
control_0_t34	-0.18282555538881018	-0.18682933163521892	0.06678001885341994
control_0_t35	-0.11410943597935669	-0.08411071227493461	0.08943706401248572
