Eigvals	0

Proportion explained	0

Species	0	0

Site	300	3
control_0_t0	-0.007073511496132068	-0.005061994154934881	0.0021352214105573907
control_0_t1	-0.014531159226154066	0.02615550248454112	-0.038505504310941054
control_0_t2	-0.16499582605749258	-0.029680041958689736	-0.036460284181751484
control_0_t3	-0.1006228392076539	-0.010578195579503898	-0.09785872576886256
control_0_t4	-0.08726495424763198	-0.002549755831297802	-0.08985177156461237
control_0_t5	-0.10510534191409616	0.029666329355390667	0.006812551468210082
control_0_t6	-0.1459715889622229	0.034141639147685886	-0.09569540334042452
control_0_t7	-0.10577172937225437	0.10568918662299265	-0.044622336448472466
control_0_t8	-0.14934055885638153	0.008778861804213833	0.044228018893231455
control_0_t9	-0.2533107482442796	0.026573198830886113	-0.0033939012768513105
control_0_t10	-0.17804736673024923	-0.17224845278775086	0.03282797305043834
control_0_t11	-0.1820179225196037	-0.039079595563645514	0.04834964870379373
control_0_t12	-0.14857583119676768	0.007959109242144435	0.03892396782751445
control_0_t13	-0.15372209730917724	-0.1093965878652682	-0.10242449669145273
control_0_t14	-0.15159210582447785	-0.1697880856341881	-0.15272286603702007
control_0_t15	-0.14453598963487063	-0.16132017127116824	-0.18395454395814378
control_0_t16	-0.26921219250708806	-0.07136635542473971	-0.029837532799138727
control_0_t17	-0.11239766139434862	-0.02534127805235912	-0.04220028703182083
control_0_t18	-0.03949941595483007	-0.14230496820301802	-0.09077739266141621
control_0_t19	0.003247485385069894	0.027432710936329152	-0.13260537375210119
control_0_t20	0.03728207529394776	-0.016012705283421212	-0.21272916935749975
control_0_t21	0.043565707468412665	-0.017880251870758694	-0.279340808433828
control_0_t22	0.06859932802347025	-0.027025963724628323	-0.24992436516723693
control_0_t23	0.05379436083146849	-0.07232234133553153	-0.3110053677567704
control_0_t24	-0.03846760378434905	0.011851739507980241	-0.13730689132609558
control_0_t25	-0.06394158209787953	-0.06120800816950231	-0.12351951289067506
control_0_t26	-0.09717604650040171	-0.099696139731038	-0.10776138393994919
control_0_t27	-0.023627982308439724	-0.07714357674359582	-0.07997258970120245
control_0_t28	-0.052615694395084796	0.0006801514672965109	0.011749980947103486
control_0_t29	-0.041050001194805605	0.11156973065277001	0.06632103876412442
control_0_t30	-0.1361488908251304	0.009984905120940968	0.03889152616575525
control_0_t31	-0.02899372411407891	0.053121294450747286	-0.03280404098581627
control_0_t32	-0.11388269128032416	0.0612706012738697	-0.06710159774991027
control_0_t33	-0.20877576734573658	-0.01924010942883192	-0.05932340511272651
control_0_t34	-0.13665143770394356	0.005761458419218969	-0.06357359996418259
control_0_t35	-0.1461376217076762	-0.012170437558005127	-0.12660637914160666
control_0_t36	-0.0665585715308228	-0.013142492210162742	-0.08723121735582051
control_0_t37	0.023834190512797435	-0.0693397273014375	-0.0452239692530211
control_0_t38	-0.012800756686157246	-0.006008823830924881	-0.008002294167565989
control_0_t39	0.01544550938474316	0.04900371413161912	0.0030259725506918134
control_0_t40	0.010274035640629085	0.059160566854647115	-0.057049194263749756
control_0_t41	0.11795081054511819	0.18634951192702992	-0.14428338270388086
control_0_t42	0.12017614919507952	0.2825956397630159	-0.07090422280222348
control_0_t43	0.09350089704335575	0.21878422451841106	-0.1982553262635055
control_0_t44	0.024521453322690456	0.19075947221208017	-0.1290062817405394
control_0_t45	0.06519691017629978	0.18595239915228237	-0.11086744608453986
control_0_t46	0.07138527007388903	0.13724458612051219	-0.10155685934166037
control_0_t47	0.06006767942161008	0.025268369325347123	0.001589862695379543
control_0_t48	0.06305969296935234	0.04504331049657214	0.029265186798925764
control_0_t49	0.04940025926939731	-0.01796402448140006	0.0779753803700578
control_1_t0	0.0019019401399918735	-0.006501598744003705	-0.005003565839705098
control_1_t1	-0.02830514955092675	-0.08307168887024595	0.029856422460567134
control_1_t2	-0.03301077218448119	-0.11696964773533883	0.0648816168851486
control_1_t3	-0.1371014623990451	-0.05782637010645965	0.08190869096270909
control_1_t4	-0.08888482172740711	-0.11325955324624229	0.22653172221511522
control_1_t5	0.027471634000420214	-0.09029585372205344	0.21565552737459862
control_1_t6	-0.061312987179154455	-0.13557502581152275	0.13824942651476466
control_1_t7	0.052160367733261354	-0.12459980283735585	0.1930290941671048
control_1_t8	0.1709201280726881	-0.11934039893362064	0.1541265719313221
control_1_t9	0.11446332613664024	-0.09356372373582247	-0.02266469195295262
control_1_t10	0.05504249805454692	-0.05975244040664775	-0.010280244523643423
control_1_t11	-0.08330190739018084	-0.07115362357096046	0.10298834276342521
control_1_t12	-0.05362963484539743	-0.03490111203263534	0.07992189422056234
control_1_t13	-0.12529794451127052	-0.11398022096020041	0.027864382164524637
