Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer
control_0,pc1,0.250998629,0.194752198,-0.030498146,-131.8773152,100,190.2362559,basinhopping
control_0,pc2,0.259196457,0.281096511,0.054577506,-125.5757925,100,190.334181,basinhopping
control_0,pc3,0.235997209,0.201680821,0.033633293,-143.9570191,100,190.0609704,basinhopping
control_1,pc1,0.228019985,0.355489786,0.006686012,-150.6946229,100,189.9694892,basinhopping
control_1,pc2,0.256150595,0.326845514,0.020466315,-127.8941982,100,190.2975933,basinhopping
control_1,pc3,0.250038429,0.239654975,0.000233551,-132.6250426,100,190.2249482,basinhopping
control_2,pc1,0.253867057,0.168036515,-0.019479876,-129.6484361,100,190.2703471,basinhopping
control_2,pc2,0.258309641,0.158028448,0.015767925,-126.248807,100,190.3234908,basinhopping
control_2,pc3,0.256765386,0.297448075,0.004138923,-127.424021,100,190.3049595,basinhopping
control_3,pc1,0.246505689,0.333361908,-0.057622327,-135.4164414,100,190.1832904,basinhopping
control_3,pc2,0.256076302,0.217126671,-0.002524433,-127.9521547,100,190.2966872,basinhopping
control_3,pc3,0.245354179,0.137797042,-0.018925192,-136.3352377,100,190.1697663,basinhopping
control_4,pc1,0.239701832,0.182357237,-0.01017528,-140.9021439,100,190.1038687,basinhopping
control_4,pc2,0.23664856,0.368990451,-0.009481291,-143.4145219,100,190.0685216,basinhopping
control_4,pc3,0.245415439,0.327989163,0.015491332,-136.2849937,100,190.1705035,basinhopping
control_5,pc1,0.242207549,0.234271987,0.029335474,-138.8641554,100,190.1330077,basinhopping
control_5,pc2,0.245823341,0.224387146,-0.002367117,-135.9597185,100,190.1752827,basinhopping
control_5,pc3,0.238437352,0.26212453,-0.027938395,-141.9386638,100,190.08921,basinhopping
control_6,pc1,0.265136477,0.162548467,-0.010636389,-121.1364482,100,190.4061648,basinhopping
control_6,pc2,0.24639173,0.276558699,0.030294388,-135.506804,100,190.1819563,basinhopping
control_6,pc3,0.253185525,0.208640927,-0.014439114,-130.1759761,100,190.2622256,basinhopping
control_7,pc1,0.247673866,0.169032818,-6.11E-05,-134.4902317,100,190.1970169,basinhopping
control_7,pc2,0.238761502,0.200541494,0.024952346,-141.6714478,100,190.0929787,basinhopping
control_7,pc3,0.254452601,0.224557384,0.005212119,-129.1987138,100,190.2772967,basinhopping
control_8,pc1,0.249461273,0.198447482,-0.013463088,-133.0792026,100,190.2181111,basinhopping
control_8,pc2,0.257379293,0.168735441,0.002686333,-126.9571406,100,190.3123009,basinhopping
control_8,pc3,0.243843851,0.15128412,-0.008362738,-137.5442248,100,190.152109,basinhopping
control_9,pc1,0.233264352,0.375212272,-0.007458292,-146.2362072,100,190.0295537,basinhopping
control_9,pc2,0.250056149,0.182839669,0.037662333,-132.6135443,100,190.2251216,basinhopping
control_9,pc3,0.241603869,0.247223125,0.020762778,-139.3534924,100,190.1259724,basinhopping
control_10,pc1,0.253911655,0.172944961,0.012493506,-129.6176117,100,190.2708227,basinhopping
control_10,pc2,0.260180752,0.215252536,-0.014803911,-124.8369653,100,190.3459828,basinhopping
control_10,pc3,0.250555238,0.151852332,0.039468221,-132.2206793,100,190.2310553,basinhopping
control_11,pc1,0.265117046,0.16316852,0.015879718,-121.151669,100,190.4059136,basinhopping
control_11,pc2,0.242737785,0.199974487,-0.00333245,-138.4374038,100,190.1391635,basinhopping
control_11,pc3,0.252382125,0.24690298,-0.041486518,-130.7985311,100,190.2526836,basinhopping
control_12,pc1,0.24038051,0.21958447,0.001516165,-140.3481267,100,190.1117481,basinhopping
control_12,pc2,0.249248317,0.159970066,-0.024908386,-133.2465519,100,190.2155976,basinhopping
control_12,pc3,0.250170831,0.222782362,-0.010822662,-132.5225636,100,190.2264942,basinhopping
control_13,pc1,0.231624346,0.381350387,0.024455447,-147.6208893,100,190.0107051,basinhopping
control_13,pc2,0.254132872,0.260308925,0.011742297,-129.4432387,100,190.2735151,basinhopping
control_13,pc3,0.241537472,0.209962135,0.000489069,-139.4072588,100,190.1252009,basinhopping
control_14,pc1,0.241056173,0.294140484,0.012377055,-139.7988736,100,190.1195905,basinhopping
control_14,pc2,0.242536052,0.377419321,-0.009085835,-138.5983594,100,190.1368395,basinhopping
control_14,pc3,0.252079039,0.199459806,0.034299934,-131.0327996,100,190.2491047,basinhopping
control_15,pc1,0.258520959,0.303247405,-0.05979782,-126.087946,100,190.3260407,basinhopping
control_15,pc2,0.250523782,0.201144352,-0.03534392,-132.2460247,100,190.230672,basinhopping
control_15,pc3,0.22610961,0.232255749,-0.01806964,-152.342782,100,189.9477337,basinhopping
control_16,pc1,0.239561726,0.159585528,-0.001547154,-141.0171483,100,190.102237,basinhopping
control_16,pc2,0.264680183,0.248791023,0.024470221,-121.4731335,100,190.4006138,basinhopping
control_16,pc3,0.241895629,0.25329807,0.003786147,-139.1177357,100,190.1293588,basinhopping
control_17,pc1,0.241044039,0.314067391,0.009702368,-139.8088322,100,190.119448,basinhopping
control_17,pc2,0.263411908,0.215769997,0.055104401,-122.4148964,100,190.3851679,basinhopping
control_17,pc3,0.253832765,0.203338136,-0.040086756,-129.6761572,100,190.2699195,basinhopping
control_18,pc1,0.256682218,0.268106217,-0.004862458,-127.4880164,100,190.3039553,basinhopping
control_18,pc2,0.237191021,0.318603208,-0.014259212,-142.9668957,100,190.0747738,basinhopping
control_18,pc3,0.263471027,0.262408249,0.021313471,-122.3714564,100,190.3858777,basinhopping
control_19,pc1,0.270492446,0.257732861,0.036401437,-117.2171528,100,190.4719436,basinhopping
control_19,pc2,0.260490651,0.214806276,0.020768942,-124.6008278,100,190.3497695,basinhopping
control_19,pc3,0.246809191,0.320685671,-0.007136602,-135.1753347,100,190.1868546,basinhopping
control_20,pc1,0.243315638,0.269617497,-0.032204148,-137.9703151,100,190.1459229,basinhopping
control_20,pc2,0.245022211,0.227098804,0.005578072,-136.5978498,100,190.1659176,basinhopping
control_20,pc3,0.263123672,0.25392025,-0.032781603,-122.6287236,100,190.3816774,basinhopping
control_21,pc1,0.248358612,0.193943402,-0.002437291,-133.9481277,100,190.2050948,basinhopping
control_21,pc2,0.244089864,0.346954564,0.054675307,-137.3469229,100,190.15498,basinhopping
control_21,pc3,0.261617309,0.203962425,0.025092373,-123.7559938,100,190.3633763,basinhopping
control_22,pc1,0.261433219,0.152234888,0.031577414,-123.8918353,100,190.3611822,basinhopping
control_22,pc2,0.242383252,0.240888567,0.019015577,-138.7209915,100,190.1350707,basinhopping
control_22,pc3,0.250411654,0.221248686,-0.044555626,-132.3371503,100,190.2292943,basinhopping
control_23,pc1,0.22781722,0.243369373,0.023954714,-150.867918,100,189.9671905,basinhopping
control_23,pc2,0.263767362,0.264673385,-0.022230495,-122.1519806,100,190.389468,basinhopping
control_23,pc3,0.253726679,0.376750447,-0.02739406,-129.7566172,100,190.268679,basinhopping
control_24,pc1,0.245483878,0.182605503,-0.020065554,-136.2322147,100,190.1712782,basinhopping
control_24,pc2,0.253948463,0.172341008,0.040442259,-129.584151,100,190.271339,basinhopping
control_24,pc3,0.237100538,0.245821828,0.000750253,-143.0412686,100,190.0737336,basinhopping
control_25,pc1,0.256280166,0.198804017,-0.004822835,-127.7926251,100,190.2991823,basinhopping
control_25,pc2,0.24573531,0.317655044,0.002301519,-136.0306518,100,190.1742395,basinhopping
control_25,pc3,0.255188991,0.31676332,-0.007832414,-128.6303124,100,190.286115,basinhopping
control_26,pc1,0.260325422,0.240488698,-0.012139158,-124.7252283,100,190.3477737,basinhopping
control_26,pc2,0.245019876,0.240105772,-0.039394573,-136.6011367,100,190.1658695,basinhopping
control_26,pc3,0.273340983,0.165573396,0.039355366,-115.1636839,100,190.5072911,basinhopping
control_27,pc1,0.247124095,0.124962161,0.010801055,-134.9244596,100,190.1905699,basinhopping
control_27,pc2,0.251903796,0.364191452,5.52E-07,-131.1707762,100,190.2469998,basinhopping
control_27,pc3,0.254426948,0.145823399,-0.014288077,-129.2188538,100,190.276985,basinhopping
control_28,pc1,0.239614315,0.348944575,-0.006914973,-140.9748389,100,190.1028371,basinhopping
control_28,pc2,0.254439283,0.277953235,-0.028289717,-129.2077451,100,190.2771569,basinhopping
control_28,pc3,0.249041606,0.133526818,0.07064874,-133.410745,100,190.2131346,basinhopping
control_29,pc1,0.251449534,0.132172833,0.000806619,-131.5240937,100,190.2416199,basinhopping
control_29,pc2,0.255876909,0.233173655,-0.032561847,-128.1031314,100,190.2943287,basinhopping
